normal mode:  1
31.14
red_mass =           5.3407       
          0.371          0.076          0.022
          0.194         -0.010         -0.047
         -0.140         -0.010         -0.336
         -0.253          0.037          0.184
         -0.673          0.292         -0.048
         -0.065         -0.036          0.012
         -0.063         -0.107         -0.152

normal mode:  2
65.54
red_mass =           1.1658       
          0.004          0.019         -0.022
         -0.043         -0.008         -0.025
          0.781          0.103          0.373
         -0.075          0.043          0.003
          0.149         -0.410          0.175
         -0.073          0.036         -0.006
          0.016         -0.038         -0.012

normal mode:  3
290.55
red_mass =           7.2435
         -0.117          0.124          0.208
         -0.045          0.169          0.317
         -0.358          0.092          0.064
         -0.295         -0.188         -0.138
         -0.331         -0.135         -0.165
         -0.308         -0.253         -0.179
          0.402          0.061         -0.061

normal mode:  4
294.17
red_mass =           1.0559       
         -0.023         -0.023         -0.010
         -0.033         -0.016         -0.025
          0.445          0.042          0.274
          0.010         -0.039          0.001
         -0.323          0.727         -0.270
          0.026         -0.107          0.044
          0.005          0.018          0.006

normal mode:  5
350.21
red_mass =           8.7304       
          0.219         -0.168         -0.292
          0.334         -0.114         -0.321
          0.077         -0.158         -0.281
         -0.230         -0.135         -0.114
         -0.080         -0.257         -0.025
         -0.333         -0.082         -0.045
          0.010          0.287          0.377

normal mode:  6
499.00
red_mass =           1.0424
          0.003         -0.006         -0.021
          0.082          0.325         -0.214
         -0.254          0.165          0.496
          0.023          0.014          0.004
         -0.461         -0.292         -0.171
          0.271          0.001         -0.319
         -0.003         -0.017          0.025

normal mode:  7
523.34
red_mass =           1.0570       
          0.027         -0.008         -0.025
          0.064          0.330         -0.231
         -0.314          0.158          0.463
         -0.029         -0.011         -0.006
          0.460          0.277          0.174
         -0.252         -0.035          0.330
          0.004         -0.023         -0.012

normal mode:  8
956.99
red_mass =           1.0455       
          0.005          0.001         -0.001
         -0.096         -0.025         -0.047
         -0.005          0.011          0.031
          0.017         -0.037          0.014
         -0.029          0.092         -0.027
         -0.410          0.843         -0.310
          0.010         -0.018          0.007

normal mode:  9
1030.18
red_mass =           1.0387
         -0.032         -0.003         -0.020
          0.859          0.103          0.480
          0.035          0.013          0.043
         -0.005         -0.006          0.004
          0.036          0.039          0.014
         -0.022          0.091         -0.068
         -0.017         -0.005         -0.011

normal mode:  10
1689.21
red_mass =           1.0727       
         -0.023         -0.024          0.048
          0.120          0.625         -0.393
          0.241         -0.135         -0.403
         -0.026         -0.010          0.010
          0.203          0.134          0.072
          0.220          0.022         -0.291
          0.000         -0.006          0.005

normal mode:  11
1720.26
red_mass =           1.0707       
         -0.013         -0.013          0.022
          0.121          0.326         -0.153
          0.125         -0.065         -0.196
          0.051          0.016         -0.021
         -0.409         -0.246         -0.147
         -0.461          0.020          0.575
          0.001         -0.004         -0.005

normal mode:  12
2775.00
red_mass =           1.0746
          0.029         -0.031         -0.044
         -0.421          0.508          0.642
          0.012         -0.042         -0.018
          0.018          0.013          0.014
          0.007          0.012          0.009
         -0.245         -0.197         -0.216
         -0.005          0.000          0.003

normal mode:  13
3021.77
red_mass =           1.0666       
          0.011         -0.012         -0.017
         -0.175          0.204          0.273
          0.008         -0.019         -0.001
         -0.040         -0.030         -0.029
         -0.014         -0.021         -0.042
          0.610          0.479          0.495
          0.002          0.001          0.001

normal mode:  14
3874.96
red_mass =           1.0640       
          0.000          0.000          0.000
         -0.004          0.003          0.005
          0.000         -0.002          0.001
          0.023         -0.010         -0.056
         -0.393          0.150          0.904
          0.033          0.009         -0.018
          0.000          0.000          0.000

normal mode:  15
3889.20
red_mass =           1.0644
         -0.001         -0.059          0.015
         -0.016         -0.017          0.032
          0.035          0.958         -0.275
          0.000          0.000          0.000
          0.000          0.000          0.002
          0.003          0.001          0.001
          0.000          0.000          0.000

